                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.5778,                 0.8101,                 1.1365,                0.85065,                0.67898,                0.78286,                0.44863,                 1.4545,                0.73016,                 1.0814,               0.000548,               0.000548,               0.000548
                    113,                 1.5836,                0.81527,                 1.1331,                0.85252,                0.67597,                0.78064,                0.44829,                 1.4595,                0.72088,                 1.0824,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.5706,                0.80813,                 1.1267,                0.86591,                0.66739,                 0.7792,                0.44769,                 1.4527,                0.72519,                 1.0826,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.5598,                0.79894,                 1.1317,                0.85585,                0.67223,                0.77964,                0.44392,                 1.4633,                0.72743,                 1.0877,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.5766,                0.80362,                 1.1165,                0.85303,                0.67925,                0.78164,                0.45549,                  1.427,                0.71791,                 1.0724,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.5465,                0.79158,                 1.1146,                0.85843,                0.67723,                0.78217,                0.45176,                 1.4342,                0.71493,                 1.0749,               0.000482,               0.000482,               0.000482
                    118,                 1.5628,                0.79782,                 1.1251,                0.85292,                0.68328,                 0.7833,                0.45096,                 1.4349,                0.72478,                 1.0775,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.5586,                0.80696,                 1.1202,                0.85891,                0.68519,                 0.7865,                0.45548,                 1.4282,                 0.7163,                 1.0725,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.5108,                0.79436,                 1.1155,                0.85551,                0.68261,                0.78639,                0.45759,                 1.4191,                0.70307,                 1.0702,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.5459,                0.79381,                 1.1225,                0.85576,                0.67586,                0.78635,                0.45632,                 1.4284,                0.71214,                 1.0701,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.5395,                0.78228,                 1.1163,                0.85571,                0.68414,                0.78843,                0.45739,                 1.4133,                0.70878,                 1.0685,               0.000416,               0.000416,               0.000416
                    123,                 1.5493,                0.79505,                 1.1222,                0.85413,                 0.6797,                 0.7853,                 0.4582,                 1.4135,                 0.7086,                 1.0676,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.5557,                 0.7947,                 1.1114,                0.85451,                0.68093,                0.78252,                0.45145,                 1.4326,                 0.7135,                 1.0705,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.5704,                0.80815,                  1.121,                0.85563,                0.68217,                0.78659,                0.46389,                 1.3854,                0.70937,                 1.0596,              0.0003764,              0.0003764,              0.0003764
